MEM,func,k,AAE,ARE,_sum,throughput,,MEM,func,k,AAE,ARE,_sum,throughput
10,CuckooSketch,1000,894.058,5.84187,602/1000,20.061,,100,CuckooSketch,100,0.58,0.000393785,100/100,17.6466
10,CuckooSketchPro,1000,6.049,0.0462959,786/1000,25.8038,,100,CuckooSketchPro,100,0.73,0.000541202,100/100,21.4754
20,CuckooSketch,1000,858.402,0.191309,1000/1000,19.4047,,100,CuckooSketch,200,0.34,0.000279928,200/200,18.0535
20,CuckooSketchPro,1000,2.233,0.00962962,945/1000,24.1103,,100,CuckooSketchPro,200,0.445,0.000395542,200/200,21.5708
30,CuckooSketch,1000,37.253,0.0613647,998/1000,19.1685,,100,CuckooSketch,300,0.27,0.000285892,300/300,18.111
30,CuckooSketchPro,1000,1.506,0.00648493,989/1000,23.4511,,100,CuckooSketchPro,300,0.39,0.000463687,300/300,21.2022
40,CuckooSketch,1000,19.789,0.0314982,1000/1000,18.8982,,100,CuckooSketch,400,1.9775,0.00400855,400/400,18.4016
40,CuckooSketchPro,1000,0.909,0.0038322,992/1000,23.1011,,100,CuckooSketchPro,400,0.3925,0.000647424,400/400,21.7647
50,CuckooSketch,1000,15.528,0.0246439,999/1000,19.0989,,100,CuckooSketch,500,1.668,0.00352826,500/500,19.2615
50,CuckooSketchPro,1000,0.788,0.00349159,1000/1000,23.091,,100,CuckooSketchPro,500,0.386,0.000781504,500/500,22.5535
60,CuckooSketch,1000,11.276,0.0221716,998/1000,19.0248,,100,CuckooSketch,600,1.66833,0.00388593,600/600,18.8893
60,CuckooSketchPro,1000,0.651,0.00287013,997/1000,17.1809,,100,CuckooSketchPro,600,0.388333,0.000945387,600/600,22.5887
60,heavykeeper,1000,31.419,0.581659,183/1000,10.8823,,100,CuckooSketch,700,1.92714,0.0045778,700/700,19.0956
60,LossyCounting,1000,344.11,304.588,272/1000,11.0121,,100,CuckooSketchPro,700,0.382857,0.00105916,700/700,22.4992
60,spacesaving,1000,595.083,96.7895,398/1000,17.6038,,100,CuckooSketch,800,2.1125,0.00563639,800/800,18.9143
70,CuckooSketch,1000,16.591,0.0154424,999/1000,17.8323,,100,CuckooSketchPro,800,0.37375,0.00115783,800/800,22.748
70,CuckooSketchPro,1000,0.424,0.00185662,1000/1000,21.4206,,100,CuckooSketch,900,2.24,0.00585708,900/900,18.885
70,heavykeeper,1000,20.007,0.533543,179/1000,10.8183,,100,CuckooSketchPro,900,0.375556,0.00130619,899/900,22.5235
70,LossyCounting,1000,276.452,242.385,323/1000,10.5048,,100,CuckooSketch,100,0.58,0.000393785,100/100,18.9829
70,spacesaving,1000,469.862,71.8855,433/1000,17.1221,,100,CuckooSketchPro,100,0.73,0.000541202,100/100,22.5561
80,CuckooSketch,1000,12.976,0.0110448,1000/1000,18.7459,,100,CuckooSketch,200,0.34,0.000279928,200/200,19.4099
80,CuckooSketchPro,1000,0.425,0.00186435,1000/1000,21.7382,,100,CuckooSketchPro,200,0.445,0.000395542,200/200,22.765
80,heavykeeper,1000,14.8,0.449393,180/1000,11.5687,,100,CuckooSketch,300,0.27,0.000285892,300/300,19.2374
80,LossyCounting,1000,223.23,188.11,382/1000,10.7302,,100,CuckooSketchPro,300,0.39,0.000463687,300/300,22.6752
80,spacesaving,1000,376.661,46.1027,479/1000,16.9543,,100,CuckooSketch,400,1.9775,0.00400855,400/400,19.006
90,CuckooSketch,1000,1.172,0.00744879,999/1000,19.073,,100,CuckooSketchPro,400,0.3925,0.000647424,400/400,22.6065
90,CuckooSketchPro,1000,0.332,0.00148265,1000/1000,22.7822,,100,CuckooSketch,500,1.668,0.00352826,500/500,19.2005
90,heavykeeper,1000,10.392,0.399271,179/1000,11.7883,,100,CuckooSketchPro,500,0.386,0.000781504,500/500,22.6865
90,LossyCounting,1000,183.124,152.722,436/1000,11.0445,,100,CuckooSketch,600,1.66833,0.00388593,600/600,19.0796
90,spacesaving,1000,303.963,20.5979,527/1000,17.4795,,100,CuckooSketchPro,600,0.388333,0.000945387,600/600,22.765
100,CuckooSketch,1000,2.572,0.00687837,1000/1000,19.0476,,100,CuckooSketch,700,1.92714,0.0045778,700/700,19.1998
100,CuckooSketchPro,1000,0.37,0.00140947,1000/1000,22.5953,,100,CuckooSketchPro,700,0.382857,0.00105916,700/700,22.6362
100,heavykeeper,1000,8.437,0.367451,179/1000,11.9087,,100,CuckooSketch,800,2.1125,0.00563639,800/800,19.1487
100,LossyCounting,1000,152.803,120.76,482/1000,10.8483,,100,CuckooSketchPro,800,0.37375,0.00115783,800/800,22.75
100,spacesaving,1000,252.701,16.3188,550/1000,17.3235,,100,CuckooSketch,900,2.24,0.00585708,900/900,19.1593
,,,,,,,,100,CuckooSketchPro,900,0.375556,0.00130619,899/900,22.6393
,,,,,,,,100,CuckooCounter,100,7.65,0.015469,98/100,15.5323
,,,,,,,,100,CuckooSketch,100,0.58,0.000393785,100/100,18.9563
,,,,,,,,100,CuckooSketchPro,100,0.73,0.000541202,100/100,22.58
,,,,,,,,100,heavykeeper,100,0.45,0.000363403,100/100,14.7977
,,,,,,,,100,LossyCounting,100,12.93,0.00955429,100/100,10.8257
,,,,,,,,100,spacesaving,100,36.24,0.0334449,98/100,17.3671
,,,,,,,,100,CuckooCounter,200,0.12,0.000169032,200/200,14.968
,,,,,,,,100,CuckooSketch,200,0.34,0.000279928,200/200,19.4852
,,,,,,,,100,CuckooSketchPro,200,0.445,0.000395542,200/200,22.6778
,,,,,,,,100,heavykeeper,200,0.84,0.00105419,200/200,14.0184
,,,,,,,,100,LossyCounting,200,14.58,0.0187786,197/200,10.9512
,,,,,,,,100,spacesaving,200,53.215,0.100113,184/200,17.4195
,,,,,,,,100,CuckooCounter,300,1.07667,0.00140784,300/300,14.5391
,,,,,,,,100,CuckooSketch,300,0.27,0.000285892,300/300,19.4708
,,,,,,,,100,CuckooSketchPro,300,0.39,0.000463687,300/300,22.6132
,,,,,,,,100,heavykeeper,300,1.37667,0.00227843,300/300,13.5331
,,,,,,,,100,LossyCounting,300,18.0767,0.0392135,287/300,10.9145
,,,,,,,,100,spacesaving,300,83.4567,0.30867,248/300,17.435
,,,,,,,,100,CuckooCounter,400,1.32,0.00141019,400/400,14.2116
,,,,,,,,100,CuckooSketch,400,1.9775,0.00400855,400/400,19.419
,,,,,,,,100,CuckooSketchPro,400,0.3925,0.000647424,400/400,22.5953
,,,,,,,,100,heavykeeper,400,1.265,0.00293231,400/400,13.1843
,,,,,,,,100,LossyCounting,400,24.4875,0.0930527,374/400,10.9638
,,,,,,,,100,spacesaving,400,120.18,0.803004,306/400,17.3382
,,,,,,,,100,CuckooCounter,500,0.324,0.000846663,500/500,13.8385
,,,,,,,,100,CuckooSketch,500,1.668,0.00352826,500/500,19.4594
,,,,,,,,100,CuckooSketchPro,500,0.386,0.000781504,500/500,22.7061
,,,,,,,,100,heavykeeper,500,1.608,0.00422797,500/500,12.8462
,,,,,,,,100,LossyCounting,500,39.53,0.514745,438/500,10.8991
,,,,,,,,100,spacesaving,500,151.25,1.63489,359/500,17.4307
,,,,,,,,100,CuckooCounter,600,1.105,0.00203277,600/600,13.8118
,,,,,,,,100,CuckooSketch,600,1.66833,0.00388593,600/600,19.5733
,,,,,,,,100,CuckooSketchPro,600,0.388333,0.000945387,600/600,22.6593
,,,,,,,,100,heavykeeper,600,1.965,0.00614828,598/600,12.648
,,,,,,,,100,LossyCounting,600,74.6433,32.4809,455/600,10.9163
,,,,,,,,100,spacesaving,600,175.642,2.54569,412/600,17.4189
,,,,,,,,100,CuckooCounter,700,0.6,0.00366188,696/700,13.6467
,,,,,,,,100,CuckooSketch,700,1.92714,0.0045778,700/700,19.5944
,,,,,,,,100,CuckooSketchPro,700,0.382857,0.00105916,700/700,22.7438
,,,,,,,,100,heavykeeper,700,2.77286,0.0109692,697/700,12.3713
,,,,,,,,100,LossyCounting,700,103.406,66.8736,463/700,10.937
,,,,,,,,100,spacesaving,700,200.354,3.8235,454/700,17.356
,,,,,,,,100,CuckooCounter,800,0.97,0.00517982,794/800,13.028
,,,,,,,,100,CuckooSketch,800,2.1125,0.00563639,800/800,18.9595
,,,,,,,,100,CuckooSketchPro,800,0.37375,0.00115783,800/800,21.7207
,,,,,,,,100,heavykeeper,800,3.92375,0.0128077,785/800,11.8714
,,,,,,,,100,LossyCounting,800,123.344,88.5061,471/800,10.6034
,,,,,,,,100,spacesaving,800,219.029,5.67945,494/800,16.7647
,,,,,,,,100,CuckooCounter,900,1.28667,0.0195557,896/900,13.4043
,,,,,,,,100,CuckooSketch,900,2.24,0.00585708,900/900,19.5069
,,,,,,,,100,CuckooSketchPro,900,0.375556,0.00130619,899/900,22.7526
,,,,,,,,100,heavykeeper,900,4.83222,0.0295016,887/900,12.0122
,,,,,,,,100,LossyCounting,900,140.192,108.921,474/900,11.0396
,,,,,,,,100,spacesaving,900,237.646,11.261,518/900,17.3421
,,,,,,,,100,CuckooCounter,1000,0.534,0.00311841,997/1000,13.0446
,,,,,,,,100,CuckooSketch,1000,2.572,0.00687837,1000/1000,19.6167
,,,,,,,,100,CuckooSketchPro,1000,0.37,0.00140947,1000/1000,22.6886
,,,,,,,,100,heavykeeper,1000,8.437,0.367451,179/1000,11.7579
,,,,,,,,100,LossyCounting,1000,152.803,120.76,482/1000,10.8728
,,,,,,,,100,spacesaving,1000,252.701,16.3188,550/1000,17.3512
